,rewrite_prompt,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
91,rewrite it as if it were an email.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
93,"""Please revise my draft to ensure it is well-balanced and accurately reflects all the tasks that need to be completed by tomorrow.""",5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
115,you please rephrase this text by focusing on England's less prominent aspects?,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
127,this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,True
131,"improve this translation: ""He gasped in shock.""",5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
145,revise the text to sound more formal and refine the wording.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
154,the essay by removing slang terms and replacing them with formal language.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
162,provide feedback on the text layout in India following the guidelines given by teachers.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
168,the essay that you had heard presented by Routledge to convey a lighter tone.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
174,the main character by incorporating more detailed mathematical equations or rewrite the world news.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
175,the essay by deleting five specific paragraphs and restructuring the introduction to enhance clarity and impact.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
176,transform this text as if all adjectives were removed.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
186,the text into a pacifist perspective. Rewrite it three times if necessary.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
192,this text to revamp the story of when the wolves were foreigners during schooldays.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
195,modify this perspective.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
198,rewrite this passage for clarity and education purposes.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
228,rephrase this sentence.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
243,"the text into a more elegant piece by rephrasing it as ""Witness the transformation from mere audacious endeavors to a continuous string of triumphs unfolding in a seminar, while the others succumbed during their formative years in high school.""",5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
260,"a more abstract piece of text, similar to the one about Glasgow.",5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
268,"the essay ""The Stone Gives Me Wings"" to make it shorter.",5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
279,this passage to convey more strength.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
283,rephrase the text in a style reminiscent of 19th-century Gothic literature.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
290,this passage more intense.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
295,"rewrite the essay to make it more cohesive and articulate. Also, clarify whether Jack was a genuine scientist based on the argument presented in the essay.",5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
306,rewrite the hearty man.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
308,enhance a guide on rewriting the section about the sea and its relation to flirtation.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
313,the introduction of the act.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
319,"rewrite this passage as a coherent sentence: ""I had a relaxing time at the beach - it was truly beautiful.""",5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
329,rewrite the passage about the old man.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
332,this essay to make it duller.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
349,you please rephrase the process as if it were a story being told?,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
367,from a different perspective.,5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
373,"this text into a command to bring you back to this page, and apply the concepts from the field to elevate the narrative rewrite the outcast - a tribute to your uniqueness.",5,5_rewrite_text_essay_perspective,"['rewrite', 'text', 'essay', 'perspective', 'rephrase', 'revise', 'make', 'rewrite text', 'provide', 'original']","['this text into a scientist rewrite the first person who was made this as clear as a TED talk. Rewrite the original text as a scientist would and clarify the unclear portions similar to a TED talk.', 'every letter of a series of dear and family secrets could make description from this to save the opposite of view, rewrite this striking feature but there made clear. The prompt you meant to say is: ""Replace every letter of a series of dear and family secrets to create a description from this to save the original viewpoint, rewrite this striking feature but make it clear.""', 'rewrite the text.']",rewrite - text - essay - perspective - rephrase - revise - make - rewrite text - provide - original,False
